,prompts,outputs_tags,tags,values
0,¿Cuáles son  los codigos de la marca hoegarden?,codigo,marca,hoegarden
1,¿Cual es la marca del codigo 7108?,marca,codigo,7108
2,¿Cuáles son el negocio del codigo 16768?,negocio,codigo,16768
3,¿Cuáles son el negocio del codigo 11067?,negocio,codigo,11067
4,¿Cual es  el stock del codigo 25120?,stock,codigo,25120
5,¿Cuáles son el negocio del codigo 7463?,negocio,codigo,7463
6,¿Cuáles son  los codigos de la marca dancer?,codigo,marca,dancer
7,¿Cual es  el stock del codigo 14102?,stock,codigo,14102
8,¿Cuáles son el negocio del codigo 19365?,negocio,codigo,19365
9,¿Cuáles son el negocio del codigo 10628?,negocio,codigo,10628
10,¿Cual es  el stock del codigo 21917?,stock,codigo,21917
11,¿Cual es  el stock del codigo 8412?,stock,codigo,8412
12,¿Cual es la marca del codigo 2859?,marca,codigo,2859
13,¿Cual es  el stock del codigo 10796?,stock,codigo,10796
14,¿Cuáles son el negocio del codigo 22217?,negocio,codigo,22217
15,¿Cuáles son  los stocks de la marca iguana summer?,stock,marca,iguana summer
16,¿Cual es  el calibre del codigo 5254?,calibre,codigo,5254
17,¿Cual es  el calibre del codigo 19726?,calibre,codigo,19726
18,¿Cual es  el stock del codigo 23285?,stock,codigo,23285
19,¿Cuáles son el negocio del codigo 1658?,negocio,codigo,1658
20,¿Cual es  el calibre del codigo 50?,calibre,codigo,50
21,¿Cuáles son el negocio del codigo 18377?,negocio,codigo,18377
22,¿Cual es  el stock del codigo 21303?,stock,codigo,21303
23,¿Cuáles son el negocio del codigo 11858?,negocio,codigo,11858
24,¿Cuáles son  los calibres de la marca lpqtp?,calibre,marca,lpqtp
25,¿Cuáles son el negocio del codigo 22472?,negocio,codigo,22472
26,¿Cual es la marca del codigo 22326?,marca,codigo,22326
27,¿Cuáles son  los stocks del calibre 50 l?,stock,calibre,50 l
28,¿Cual es  el stock del codigo 24358?,stock,codigo,24358
29,¿Cual es la marca del codigo 17093?,marca,codigo,17093
30,¿Cual es la marca del codigo 425?,marca,codigo,425
31,¿Cual es  el calibre del codigo 2658?,calibre,codigo,2658
32,¿Cuáles son el negocio del codigo 24115?,negocio,codigo,24115
33,¿Cuáles son  los calibres de la marca norte?,calibre,marca,norte
34,¿Cuáles son el negocio del codigo 14446?,negocio,codigo,14446
35,¿Cuáles son  los calibres de la marca Alquimista?,calibre,marca,Alquimista
36,¿Cual es  el calibre del codigo 648?,calibre,codigo,648
37,¿Cual es  el stock del codigo 11835?,stock,codigo,11835
38,¿Cual es la marca del codigo 21507?,marca,codigo,21507
39,¿Cual es la marca del codigo 22458?,marca,codigo,22458
40,¿Cual es  el calibre del codigo 21001?,calibre,codigo,21001
41,¿Cuáles son  los stocks de la marca quilmes red lager?,stock,marca,quilmes red lager
42,¿Cual es  el stock del codigo 15589?,stock,codigo,15589
43,¿Cual es la marca del codigo 15178?,marca,codigo,15178
44,¿Cual es  el calibre del codigo 20809?,calibre,codigo,20809
45,¿Cual es  el stock del codigo 24145?,stock,codigo,24145
46,¿Cual es la marca del codigo 19857?,marca,codigo,19857
47,¿Cual es la marca del codigo 5294?,marca,codigo,5294
48,¿Cual es  el stock del codigo 8268?,stock,codigo,8268
49,¿Cuáles son el negocio del codigo 16398?,negocio,codigo,16398
50,¿Cual es  el calibre del codigo 133?,calibre,codigo,133
51,¿Cuáles son  los calibres de la marca lowenbrau?,calibre,marca,lowenbrau
52,¿Cual es la marca del codigo 16667?,marca,codigo,16667
53,¿Cuáles son el negocio del codigo 22992?,negocio,codigo,22992
54,¿Cual es el negocio de la marca quilmes bajo cero?,negocio,marca,quilmes bajo cero
55,¿Cual es la marca del codigo 20383?,marca,codigo,20383
56,¿Cual es  el calibre del codigo 744?,calibre,codigo,744
57,¿Cuáles son el negocio del codigo 5480?,negocio,codigo,5480
58,¿Cual es  el stock del codigo 8231?,stock,codigo,8231
59,¿Cuáles son el negocio del codigo 473?,negocio,codigo,473
60,¿Cuáles son  los stocks del calibre 710?,stock,calibre,710
61,¿Cual es  el stock del codigo 8509?,stock,codigo,8509
