,prompts,outputs_tags,tags,values,tags2,values2
0,¿Cuáles son  los codigos de la gatorade 500?,codigo,marca,gatorade,calibre,500
1,¿Cual es  el stock del codigo 12430?,stock,codigo,12430,,
2,¿Cual es la marca del codigo 15094?,marca,codigo,15094,,
3,¿Cual es la marca del codigo 22134?,marca,codigo,22134,,
4,¿Cuáles son  los codigos de la goose island 350?,codigo,marca,goose island,calibre,350
5,¿Cual es  el calibre del codigo 8101?,calibre,codigo,8101,,
6,¿Cuáles son el negocio del codigo 19019?,negocio,codigo,19019,,
7,¿Cual es  el calibre del codigo 21507?,calibre,codigo,21507,,
8,¿Cual es  el calibre del codigo 23252?,calibre,codigo,23252,,
9,¿Cuáles son el negocio del codigo 22330?,negocio,codigo,22330,,
10,¿Cual es  el calibre del codigo 2079?,calibre,codigo,2079,,
11,¿Cuáles son  los codigos de la pepsi 2250 reco?,codigo,marca,pepsi,calibre,2250 reco
12,¿Cuáles son  los codigos de la patagonia vera ipa 20 l?,codigo,marca,patagonia vera ipa,calibre,20 l
13,¿Cuáles son el negocio del codigo 822?,negocio,codigo,822,,
14,¿Cual es  el stock del codigo 21971?,stock,codigo,21971,,
15,¿Cuáles son  los stocks de la temple honey 350?,stock,marca,temple honey,calibre,350
16,¿Cual es la marca del codigo 667?,marca,codigo,667,,
17,¿Cual es la marca del codigo 22339?,marca,codigo,22339,,
18,¿Cual es  el stock del codigo 20997?,stock,codigo,20997,,
19,¿Cuáles son  los codigos del negocio CORE +?,codigo,negocio,CORE +,,
20,¿Cual es  el stock del codigo 5587?,stock,codigo,5587,,
21,¿Cual es  el stock del codigo 17989?,stock,codigo,17989,,
22,¿Cuáles son el negocio del codigo 7480?,negocio,codigo,7480,,
23,¿Cual es  el calibre del codigo 19529?,calibre,codigo,19529,,
24,¿Cuáles son las marcas del calibre 354?,marca,calibre,354,,
25,¿Cual es  el stock del codigo 16709?,stock,codigo,16709,,
26,¿Cual es  el calibre del codigo 13499?,calibre,codigo,13499,,
27,¿Cual es  el stock del codigo 15178?,stock,codigo,15178,,
28,¿Cuáles son  los codigos de la paso de los toros 950?,codigo,marca,paso de los toros,calibre,950
29,¿Cuáles son  los codigos de la tratenfu 350?,codigo,marca,tratenfu,calibre,350
30,¿Cual es la marca del codigo 18568?,marca,codigo,18568,,
31,¿Cuáles son  los codigos de la novecento 20 l?,codigo,marca,novecento,calibre,20 l
32,¿Cuáles son  los codigos de la patagonia abrazo oso 300?,codigo,marca,patagonia abrazo oso,calibre,300
33,¿Cuáles son  los codigos de la lpqtp 30 l barril?,codigo,marca,lpqtp,calibre,30 l barril
34,¿Cual es la marca del codigo 16753?,marca,codigo,16753,,
35,¿Cuáles son  los stocks de la nestle pureza vital 740?,stock,marca,nestle pureza vital,calibre,740
36,¿Cuáles son el negocio del codigo 16986?,negocio,codigo,16986,,
37,¿Cual es la marca del codigo 1466?,marca,codigo,1466,,
38,¿Cual es  el calibre del codigo 13629?,calibre,codigo,13629,,
39,¿Cuáles son  los codigos de la patagonia eipa 2450?,codigo,marca,patagonia eipa,calibre,2450
40,¿Cual es  el calibre del codigo 8268?,calibre,codigo,8268,,
41,¿Cuáles son  los codigos de la glaciar 340?,codigo,marca,glaciar,calibre,340
42,¿Cual es la marca del codigo 822?,marca,codigo,822,,
43,¿Cuáles son  los codigos de la zillertal 995?,codigo,marca,zillertal,calibre,995
44,¿Cual es  el calibre del codigo 18559?,calibre,codigo,18559,,
45,¿Cuáles son el negocio del codigo 14638?,negocio,codigo,14638,,
46,¿Cual es  el stock del codigo 20809?,stock,codigo,20809,,
47,¿Cuáles son  los stocks de la quilmes 700?,stock,marca,quilmes,calibre,700
48,¿Cuáles son  los stocks de la pepsi 1000  tetra?,stock,marca,pepsi,calibre,1000  tetra
49,¿Cual es  el calibre del codigo 19365?,calibre,codigo,19365,,
50,¿Cuáles son  los stocks de la gatorade 1000  tetra?,stock,marca,gatorade,calibre,1000  tetra
51,¿Cuáles son  los codigos de la patagonia 1250 reco?,codigo,marca,patagonia,calibre,1250 reco
52,¿Cuáles son  los stocks de la capriccio 700?,stock,marca,capriccio,calibre,700
53,¿Cuáles son  los codigos de la corona 210?,codigo,marca,corona,calibre,210
54,¿Cuáles son  los codigos de la glaciar plus 6.3 bidon?,codigo,marca,glaciar plus,calibre,6.3 bidon
55,¿Cual es la marca del codigo 1424?,marca,codigo,1424,,
56,¿Cual es  el calibre del codigo 2458?,calibre,codigo,2458,,
57,¿Cuáles son  los stocks de la patagonia vera ipa 740?,stock,marca,patagonia vera ipa,calibre,740
58,¿Cual es  el calibre del codigo 5646?,calibre,codigo,5646,,
59,¿Cual es  el stock del codigo 21921?,stock,codigo,21921,,
60,¿Cuáles son  los stocks de la marca andes origen trigueña?,stock,marca,andes origen trigueña,,
61,¿Cual es la marca del codigo 7615?,marca,codigo,7615,,
62,¿Cuáles son  los codigos de la gordons 740?,codigo,marca,gordons,calibre,740
63,¿Cual es  el stock del codigo 744?,stock,codigo,744,,
64,¿Cual es  el calibre del codigo 6884?,calibre,codigo,6884,,
65,¿Cual es  el stock del codigo 22506?,stock,codigo,22506,,
66,¿Cuáles son el negocio del codigo 7139?,negocio,codigo,7139,,
67,¿Cual es  el calibre del codigo 22402?,calibre,codigo,22402,,
68,¿Cuáles son el negocio del calibre 1500?,negocio,calibre,1500,,
69,¿Cual es  el stock del codigo 19366?,stock,codigo,19366,,
70,¿Cual es  el stock del codigo 740?,stock,codigo,740,,
71,¿Cuáles son  los stocks de la paso de los toros barril 10 l?,stock,marca,paso de los toros,calibre,barril 10 l
72,¿Cuáles son  los codigos de la andes origen negra 20 l?,codigo,marca,andes origen negra,calibre,20 l
73,¿Cuáles son el negocio del codigo 993?,negocio,codigo,993,,
74,¿Cuáles son las marcas del calibre 30 l?,marca,calibre,30 l,,
75,¿Cual es  el stock del codigo 2439?,stock,codigo,2439,,
76,¿Cual es la marca del codigo 7633?,marca,codigo,7633,,
77,¿Cuáles son  los stocks de la andes origen rubia 710?,stock,marca,andes origen rubia,calibre,710
78,¿Cuáles son el negocio del codigo 24253?,negocio,codigo,24253,,
79,¿Cuáles son  los stocks de la budweiser 1000  tetra?,stock,marca,budweiser,calibre,1000  tetra
80,¿Cual es  el calibre del codigo 22500?,calibre,codigo,22500,,
81,¿Cuáles son  los stocks de la quilmes barril 10 l?,stock,marca,quilmes,calibre,barril 10 l
82,¿Cuáles son  los stocks de la marca patagonia amber lager?,stock,marca,patagonia amber lager,,
83,¿Cual es la marca del codigo 19856?,marca,codigo,19856,,
84,¿Cual es  el stock del codigo 22294?,stock,codigo,22294,,
85,¿Cual es  el calibre del codigo 16667?,calibre,codigo,16667,,
86,¿Cuáles son  los codigos de la marca pat sendero?,codigo,marca,pat sendero,,
87,¿Cuáles son  los codigos de la marca budweiser?,codigo,marca,budweiser,,
88,¿Cuáles son  los codigos de la budweiser 995?,codigo,marca,budweiser,calibre,995
89,¿Cual es  el calibre del codigo 2410?,calibre,codigo,2410,,
90,¿Cuáles son el negocio del codigo 23319?,negocio,codigo,23319,,
91,¿Cual es  el calibre del codigo 19280?,calibre,codigo,19280,,
92,¿Cuáles son  los codigos de la LIEBER 30 l?,codigo,marca,LIEBER,calibre,30 l
93,¿Cuáles son  los stocks de la nestle pureza vital 330 s/r?,stock,marca,nestle pureza vital,calibre,330 s/r
94,¿Cuáles son las marcas del calibre 10 l?,marca,calibre,10 l,,
95,¿Cual es la marca del codigo 22532?,marca,codigo,22532,,
96,¿Cual es  el calibre del codigo 11740?,calibre,codigo,11740,,
97,¿Cual es  el stock del codigo 22490?,stock,codigo,22490,,
98,¿Cuáles son  los stocks de la patagonia amber lager 2250 reco?,stock,marca,patagonia amber lager,calibre,2250 reco
99,¿Cual es el negocio de la marca patagonia kune?,negocio,marca,patagonia kune,,
100,¿Cuáles son el negocio del codigo 1416?,negocio,codigo,1416,,
101,¿Cual es la marca del codigo 8125?,marca,codigo,8125,,
102,¿Cual es  el stock del codigo 20635?,stock,codigo,20635,,
103,¿Cual es  el calibre del codigo 14100?,calibre,codigo,14100,,
104,¿Cuáles son  los stocks de la hoegarden 970?,stock,marca,hoegarden,calibre,970
105,¿Cuáles son  los stocks de la h2oh 355?,stock,marca,h2oh,calibre,355
106,¿Cual es la marca del codigo 1495?,marca,codigo,1495,,
107,¿Cual es  el calibre del codigo 13224?,calibre,codigo,13224,,
108,¿Cuáles son  los codigos de la patagonia 1200?,codigo,marca,patagonia,calibre,1200
109,¿Cuáles son el negocio del codigo 22329?,negocio,codigo,22329,,
110,¿Cuáles son el negocio del codigo 22391?,negocio,codigo,22391,,
111,¿Cuáles son el negocio del codigo 5875?,negocio,codigo,5875,,
112,¿Cual es  el calibre del codigo 2900?,calibre,codigo,2900,,
113,¿Cual es la marca del codigo 11835?,marca,codigo,11835,,
114,¿Cuáles son las marcas del negocio Importadas?,marca,negocio,Importadas,,
115,¿Cuáles son  los stocks de la red bull 500?,stock,marca,red bull,calibre,500
116,¿Cuáles son  los stocks de la gatorade 269?,stock,marca,gatorade,calibre,269
117,¿Cual es  el calibre del codigo 25059?,calibre,codigo,25059,,
118,¿Cual es  el stock del codigo 10566?,stock,codigo,10566,,
119,¿Cual es la marca del codigo 19019?,marca,codigo,19019,,
120,¿Cuáles son  los calibres de la marca patagonia hoppy lager?,calibre,marca,patagonia hoppy lager,,
121,¿Cual es la marca del codigo 20812?,marca,codigo,20812,,
122,¿Cual es la marca del codigo 21929?,marca,codigo,21929,,
123,¿Cuáles son el negocio del codigo 7550?,negocio,codigo,7550,,
124,¿Cuáles son el negocio del codigo 24168?,negocio,codigo,24168,,
125,¿Cual es la marca del codigo 22292?,marca,codigo,22292,,
126,¿Cuáles son el negocio del codigo 7125?,negocio,codigo,7125,,
127,¿Cual es  el calibre del codigo 1322?,calibre,codigo,1322,,
128,¿Cuáles son  los stocks de la novecento 330?,stock,marca,novecento,calibre,330
129,¿Cual es la marca del codigo 13504?,marca,codigo,13504,,
130,¿Cual es  el calibre del codigo 24012?,calibre,codigo,24012,,
